,Name,Cuisine_Type,Rating,Review_Count
168,Piazze D'Italia,"['Pizza', 'Italian']",4.5,2016
169,Papadam,"['Indian', 'Balti']",4.5,394
170,Futballarium Barcelona,"['Bar', 'Pub']",4.5,557
171,Bar Casi,"['European', 'Spanish']",4.5,964
172,Monster Sushi - Girona 68,"['Japanese', 'Asian']",5.0,12
173,Louro,"['Seafood', 'Mediterranean']",4.5,1036
174,Cheese and Cake,"['Mediterranean', 'European']",4.5,343
175,The Alchemix,"['Asian', 'Mediterranean']",4.5,242
176,Menssana,"['Cafe', 'Mediterranean']",4.5,1444
177,"Listo Restaurants, Pizza Pasta Paella Tapas","['Italian', 'Pizza']",4.5,243
178,Sushi Yoi,"['Japanese', 'Sushi']",5.0,1
179,The Pan's Club,"['Mediterranean', 'Healthy']",4.5,376
180,Disfrutar,"['Mediterranean', 'Contemporary']",4.5,1972
181,Pizza Pazza,"['Italian', 'Pizza']",4.5,661
182,The Rooftop at Sir Victor,['$$ - $$$'],4.5,239
183,The Sopa Boba,"['Mediterranean', 'International']",4.5,1040
184,Casa Bangla,"['Indian', 'Bangladeshi']",4.5,5
185,YUBI Barcelona,"['French', 'Japanese']",4.0,15
186,Restaurant Pau Claris 190,"['Mediterranean', 'Healthy']",4.5,905
187,Ziryab Fusion Tapas Bar,"['Mediterranean', 'European']",4.5,1430
188,Restaurante Koh-i-Noor India,"['Indian', 'Asian']",4.5,747
189,Comida De Olla,"['Mediterranean', 'European']",4.5,363
190,Foc i Oli Aribau,"['American', 'Fast Food']",4.5,992
191,Casa Bangla,"['Indian', 'Bangladeshi']",4.5,5
192,A Tu Bola,"['Fast Food', 'Mediterranean']",4.5,1395
193,Cal Trapella - Cuina de Mercat,"['Mediterranean', 'Spanish']",4.5,291
194,Restaurante Rokelin Gourmet,['Spanish'],4.5,836
195,Pulperia Can Lampazas,"['Mediterranean', 'European']",4.5,1019
196,Toma Ya Street Food,"['Peruvian', 'Street Food']",5.0,161
197,Malaysian Street Delights,"['Chinese', 'Asian']",5.0,22
198,El Viti Taberna,"['Asian', 'Spanish']",4.5,901
199,La Platilleria,"['Mediterranean', 'Spanish']",4.5,291
200,La Terraza del Claris,"['Mediterranean', 'European']",4.5,447
201,La Pruna,"['Mediterranean', 'European']",4.5,202
202,Bierzo food,"['Bar', 'Spanish']",4.5,1307
203,Sushi Yoi,"['Japanese', 'Sushi']",5.0,1
204,Oria Restaurant,"['Mediterranean', 'European']",4.5,1035
205,La Perillosa,"['Mediterranean', 'European']",4.5,264
206,Agreste de Fabio & Roser,"['Mediterranean', 'European']",4.5,304
207,El Salon,"['Mediterranean', 'European']",4.5,838
208,Petit Pau Restaurant,"['Mediterranean', 'Spanish']",4.5,839
209,Bivac,"['Italian', 'Mediterranean']",5.0,3
210,Restaurante La Estrella 1924,"['Mediterranean', 'European']",4.5,417
211,Spicy Soul HotPot,"['Chinese', 'Central Asian']",4.5,140
212,Carlota Akaneya,"['Barbecue', 'Japanese']",4.5,1389
213,Uma,"['International', 'Mediterranean']",5.0,1167
214,Gilda by Belgious,"['Mediterranean', 'Spanish']",4.5,1440
215,La Cervesera Artesana,"['Bar', 'Pub']",4.0,189
216,Deja Burg,['International'],4.5,214
217,Palosanto Tapas Bar,"['Bar', 'Mediterranean']",4.5,1378
218,Beam,"['Mediterranean', 'Fusion']",4.5,220
219,Sagradas Tapas,"['Mediterranean', 'Spanish']",4.5,318
220,Red Garter Barcelona,"['Steakhouse', 'American']",4.5,276
221,Bella Venezia,['Italian'],5.0,102
222,Sushi Yoi,"['Japanese', 'Sushi']",5.0,1
223,Salterio,"['Cafe', 'Moroccan']",4.5,557
224,Agust Barcelona,"['International', 'Spanish']",4.5,1978
225,Tosca Palau,"['Mediterranean', 'European']",4.5,2582
226,Rasoi,"['Indian', 'Asian']",4.5,336
227,BENZiNA,"['Italian', 'Mediterranean']",4.5,294
228,Bivac,"['Italian', 'Mediterranean']",5.0,3
229,Bar Quiosc Modern,"['Seafood', 'Mediterranean']",4.5,341
230,Restaurante Lasarte,"['Mediterranean', 'European']",4.5,1116
231,Aqui Quedamos,"['Italian', 'Neapolitan']",4.5,286
232,Vinitus Madrid-Barcelona,"['European', 'Catalan']",4.5,309
233,Meson Barceloneta,"['European', 'Catalan']",4.5,1231
234,Jay's Japanese,['Japanese'],5.0,54
235,Mi Gracia,"['Argentinean', 'South American']",4.5,420
236,Maro Azul,"['Mexican', 'Latin']",4.5,123
237,Son Hao,"['Chinese', 'Asian']",4.5,455
238,Musiu,"['Italian', 'Mediterranean']",4.5,388
239,Volta al Mon,"['International', 'Mediterranean']",4.5,560
240,Fan Dim Sum,"['Chinese', 'Asian']",4.5,51
241,Cinc Sentits,"['Mediterranean', 'European']",4.5,1028
242,Guell Tapas,"['Mediterranean', 'European']",4.5,2331
243,Bar Canete,"['Mediterranean', 'European']",4.5,3020
244,Restaurant Montiel,"['Mediterranean', 'European']",4.5,2531
245,Gourmet Sensi,"['Mediterranean', 'European']",4.5,1414
246,La Cervesera Artesana,"['Bar', 'Pub']",4.0,189
247,Avinyo10,"['Mediterranean', 'European']",4.5,2499
248,Season Restaurant Barcelona,"['Mediterranean', 'Spanish']",4.5,636
249,Koy Shunka,"['Japanese', 'Sushi']",4.5,1457
250,Soda Bus,"['American', 'Bar']",4.5,311
251,Paella Bar Boqueria,"['Seafood', 'Mediterranean']",4.5,943
252,Malaysian Street Delights,"['Chinese', 'Asian']",5.0,22
253,Can Dende,"['Brazilian', 'Cafe']",4.5,972
254,Restaurant La Ferreria Des De 1987,"['Mediterranean', 'European']",4.5,397
255,Bistro Helena,"['Mediterranean', 'Catalan']",4.5,1129
256,Alegoria Restaurante Barcelona,"['Mediterranean', 'Spanish']",4.5,113
257,La Dentelliere,"['Diner', 'Spanish']",4.5,930
258,Restaurant Junca,"['Bar', 'Grill']",5.0,7
259,Bella Venezia,['Italian'],5.0,102
260,Colibri Brunch & Bistro,"['American', 'Bar']",4.5,442
261,Equilibri Bcn,"['Mediterranean', 'Fusion']",4.5,294
262,Swad - The Indian Restaurant,['Indian'],4.5,364
263,Spark,"['Steakhouse', 'Mediterranean']",4.5,284
264,Cala Rossita,"['Mediterranean', 'Spanish']",4.5,239
